fdc_id,alimento,energía_kcal,proteína_g,grasa_lípida_total_g,carbohidratos_por_diferencia_g,fibra_total_dietaria_g,azúcares_total_incluido_nlea_g,calcio_ca_mg,hierro_fe_mg,magnesio_mg_mg,fósforo_p_mg,potasio_k_mg,sodio_na_mg,zinc_zn_mg,cobre_cu_mg,manganeso_mn_mg,selenio_se_ug,yodo_i_ug,cromo_cr_ug,molibdeno_mo_ug,cloruro_cl_mg,fluoruro_f_ug,vitamina_a_rae_ug,vitamina_c_total_ácido_ascórbico_mg,vitamina_d_d2_plus_d3_ug,vitamina_e_alfa_tocoferol_mg,vitamina_k_filoquinona_ug,tiamina_mg,mg_riboflavina,niacina_mg,ácido_pantoténico_mg,vitamina_b_6_mg,folato_total_ug,vitamina_b_12_ug,colina_total_mg,biotina_ug,vitamina_a_iu_iu
167525,Tostadas de maíz,474,6.15,23.38,64.43,5.8,,76,1.53,76,203,237,657,1.23,0.148,0.363,2.2,,,,,,,,,,,0.353,0.094,1.553,0.191,0.363,,,,,
167526,"Pan, queso dulce salvadoreño (quesadilla salvadoreña)",374,7.12,17.12,47.84,0.7,,73,0.98,11,200,350,510,0.8,0.03,0.24,13.3,,,,,,141,0,0.3,0.96,11.2,0.02,0.08,1.2,0.7,0.04,33,0.35,36.5,,584
167528,"Pastelería, Pastelitos de Guayaba",379,5.48,18.5,47.76,2.2,,14,2.12,15,56,103,231,0.42,0.079,0.265,17.5,,,,,,,,,0.95,12.5,0.19,0.117,2.493,0.27,0.053,,,,,
167532,"Pan, trigo blanco",238,10.66,2.15,43.91,9.2,,684,4.89,26,103,127,478,0.95,0.149,0.634,16.1,,,,,,0,0,0,0.38,7.7,0.51,0.255,4.455,0.455,0.08,127,0,8.1,,4
167533,"panecillos, trigo",250,10.2,1.53,48.89,4.1,,20,2.76,51,142,165,439,1.1,0.175,1.43,28.7,,,,,24.1,0,0,0,0.32,1.5,0.403,0.209,3.37,0.375,0.147,76,0,9.8,,0
167535,"Tortillas, listas para hornear o freír, harina, estables en almacenamiento",297,8.01,7.58,49.27,2.4,,163,3.32,21,213,133,742,0.57,0.115,0.516,21.9,,,,,20,0,0,0,0.86,4.2,0.487,0.124,4.191,0.283,0.028,118,0,6.8,,0
167577,Sorbete de naranja,144,1.1,2,30.4,1.3,,54,0.14,8,40,96,46,0.48,0.028,0.011,1.5,,,,,,12,2.3,0,0.01,0,0.027,0.097,0.063,0.224,0.023,4,0.13,7.7,,46
167599,"Udi's, pan integral suave, abundante y sin gluten",309,7.25,9.34,49.09,4.9,,60,0.76,31,77,123,510,0.58,0.074,0.505,,,,,,,,,,,,0.18,0.32,1.41,,0.09,,,,,
167602,"Algas marinas cultivadas en Canadá EMI-TSUNOMATA, secas",259,15.34,1.39,46.24,36.7,,299,66.38,692,260,2944,4331,2.53,0.47,5.88,,,,,,,406,29,3.1,5.53,,0.48,1.59,3.75,,0.23,188,2.25,,,8120
167603,"Algas marinas cultivadas en Canadá EMI-TSUNOMATA, rehidratadas",31,1.86,0.17,5.62,4.5,,36,8.07,84,32,358,526,0.31,0.06,0.71,,,,,,,49,3.5,0.4,0.67,,0.06,0.19,0.46,,0.03,23,0.27,,,987
